time,x,y,z
0.469,-0.0503815,0.324819,0.0767145
0.47,-0.390969,0.428802,0.038622
0.471,-0.159914,-0.673215,-0.00161063
0.472,0.00230459,-0.452771,0.441193
0.473,0.0503595,0.351361,0.140112
0.474,-0.129755,0.452172,0.112954
0.475,-0.494287,0.304616,-0.0572509
0.476,-0.0206537,-0.481617,0.0775818
0.477,0.068245,-0.157511,0.259099
0.478,0.00133574,0.480963,0.177958
0.479,-0.143193,0.325396,0.0384923
0.48,-0.416025,-0.230962,-0.255004
0.481,0.0109209,-0.544571,0.235341
0.482,0.0561723,-0.0393168,0.196117
0.483,-0.0602504,0.557899,0.19929
0.484,-0.193179,0.259951,-0.0106037
0.485,-0.44471,-0.585749,-0.277882
0.486,0.0763268,-0.277279,0.150128
0.487,0.0683858,0.172344,0.135463
0.488,-0.136771,0.654628,0.244497
0.489,-0.171407,0.064931,-0.0809898
0.49,-0.300166,-0.909538,0.0017701
0.491,0.103501,-0.158005,0.173649
0.492,0.0371667,0.211727,0.107683
0.493,-0.206975,0.649933,0.226003
0.494,-0.285007,-0.06988,-0.167097
0.495,-0.238985,-1.04253,0.314968
0.496,0.111535,0.00674054,0.139995
0.497,0.000154196,0.37962,0.130699
0.498,-0.313147,0.724652,0.26747
0.499,-0.161881,-0.289439,-0.129178
0.5,-0.0944068,-0.828684,0.49039
0.501,0.101187,0.145214,0.147499
0.502,-0.0276823,0.309434,0.0826633
0.503,-0.360507,0.543996,0.12269
0.504,-0.174453,-0.545874,-0.0868624
0.505,-0.029521,-0.604858,0.50289
0.506,0.0744962,0.287371,0.134823
0.507,-0.106543,0.482043,0.138275
0.508,-0.466298,0.470942,0.0556563
0.509,-0.0520931,-0.476439,0.0241437
0.51,0.0640807,-0.25358,0.299771
0.511,0.0323007,0.420016,0.16302
0.512,-0.111129,0.328071,0.051439
0.513,-0.466981,0.0744066,-0.172957
0.514,-0.0405147,-0.653771,0.216635
0.515,0.0533023,-0.128923,0.248084
0.516,-0.0226792,0.505892,0.181149
0.517,-0.17365,0.323919,0.0277042
0.518,-0.473947,-0.320853,-0.292322
0.519,0.0542694,-0.349963,0.14215
0.52,0.0737234,0.0800353,0.155209
0.521,-0.094223,0.618412,0.229436
0.522,-0.188566,0.179825,-0.045167
0.523,-0.328078,-0.760725,-0.135661
0.524,0.083467,-0.29327,0.231654
0.525,0.0471638,0.140072,0.117975
0.526,-0.15919,0.625514,0.218054
0.527,-0.243031,0.0420074,-0.117306
0.528,-0.312746,-1.02399,0.109233
0.529,0.108642,-0.0796813,0.148382
0.53,0.0254236,0.31306,0.121363
0.531,-0.260311,0.726238,0.27599
0.532,-0.1622,-0.173545,-0.126257
0.533,-0.144371,-0.9219,0.404906
0.534,0.111066,0.067777,0.143787
0.535,-0.00662944,0.294306,0.0906593
0.536,-0.324186,0.633453,0.194244
0.537,-0.177227,-0.395262,-0.130004
0.538,-0.0702706,-0.75684,0.521393
0.539,0.0896546,0.20404,0.122567
0.54,-0.0675031,0.442204,0.129247
0.541,-0.425967,0.592837,0.149916
0.542,-0.0838555,-0.442396,-0.0315561
0.543,0.023034,-0.435098,0.400941
0.544,0.0602233,0.344789,0.147009
0.545,-0.088711,0.350869,0.0717955
0.546,-0.452274,0.284496,-0.0617047
0.547,-0.0869155,-0.685928,0.133217
0.548,0.0460581,-0.237942,0.310915
0.549,0.0119474,0.432948,0.156118
0.55,-0.161089,0.396527,0.0710631
0.551,-0.503479,-0.0258243,-0.223863
0.552,0.023807,-0.433731,0.133486
0.553,0.0702056,-0.0296486,0.196636
0.554,-0.0498478,0.562369,0.206728
0.555,-0.169615,0.251919,-0.00651543
0.556,-0.378154,-0.553125,-0.243003
0.557,0.0565314,-0.412708,0.250426
0.558,0.0560609,0.074837,0.142566
0.559,-0.11519,0.60801,0.216405
0.56,-0.246616,0.184645,-0.0626537
0.561,-0.386219,-0.884962,-0.118167
0.562,0.098748,-0.181298,0.163087
0.563,0.0478589,0.265861,0.12603
0.564,-0.205684,0.709995,0.271992
0.565,-0.171213,-0.0636985,-0.114774
0.566,-0.216685,-0.979857,0.251117
0.567,0.112467,-0.0314414,0.157007
0.568,0.0143417,0.262551,0.0966174
0.569,-0.281181,0.688572,0.243068
0.57,-0.270725,-0.290642,-0.195401
0.571,-0.150996,-0.946907,0.508607
0.572,0.101894,0.120847,0.121491
0.573,-0.0314858,0.390747,0.118422
0.574,-0.3732,0.658091,0.206818
0.575,-0.135279,-0.422802,-0.0894512
0.576,0.00228863,-0.556093,0.423745
0.577,0.0823302,0.257367,0.142964
0.578,-0.057828,0.327859,0.0743634
0.579,-0.397335,0.380827,0.00670352
0.58,-0.144404,-0.688477,0.032003
0.581,0.0120802,-0.403429,0.414159
0.582,0.0421484,0.371536,0.14354
0.583,-0.147577,0.472134,0.119653
0.584,-0.480724,0.201269,-0.113744
0.585,-0.00708598,-0.458761,0.0863925
0.586,0.0750319,-0.110344,0.234585
0.587,-0.010349,0.504934,0.18719
0.588,-0.132455,0.271636,0.0160729
0.589,-0.423472,-0.290894,-0.267726
0.59,0.0205493,-0.524086,0.246964
0.591,0.0588785,-0.00813223,0.180871
0.592,-0.0707264,0.566554,0.201431
0.593,-0.208752,0.2563,-0.0173397
0.594,-0.455003,-0.642711,-0.273731
0.595,0.0811336,-0.256205,0.149754
0.596,0.064653,0.18735,0.132074
0.597,-0.148622,0.664111,0.248701
0.598,-0.172684,0.0422426,-0.0885806
0.599,-0.278045,-0.928099,0.0526032
0.6,0.105975,-0.137645,0.175046
0.601,0.0330368,0.217435,0.104227
0.602,-0.227204,0.687757,0.250979
0.603,-0.289247,-0.107147,-0.178043
0.604,-0.23056,-1.04962,0.365473
0.605,0.109596,0.032956,0.131164
0.606,-0.000479268,0.325239,0.107247
0.607,-0.3169,0.692885,0.241508
0.608,-0.141944,-0.299774,-0.114448
0.609,-0.052795,-0.730556,0.455028
0.61,0.099779,0.173924,0.142383
0.611,-0.0324581,0.311948,0.0808539
0.612,-0.379725,0.552409,0.125919
0.613,-0.142361,-0.52467,-0.0626452
0.614,-0.021621,-0.56946,0.491864
0.615,0.0687102,0.300148,0.133667
0.616,-0.0890807,0.395332,0.0949199
0.617,-0.458642,0.402218,0.010148
0.618,-0.0422713,-0.470229,0.0349775
0.619,0.054079,-0.25588,0.312153
0.62,0.0249945,0.434436,0.165364
0.621,-0.120607,0.334151,0.0509602
0.622,-0.458606,0.00236136,-0.200903
0.623,-0.00829775,-0.556178,0.177778
0.624,0.0533377,-0.108314,0.235809
0.625,-0.0301253,0.503879,0.176782
0.626,-0.197972,0.347318,0.0328231
0.627,-0.478179,-0.379502,-0.30051
0.628,0.0576742,-0.369214,0.172596
0.629,0.0772477,0.121798,0.147597
0.63,-0.106616,0.636513,0.238827
0.631,-0.172896,0.134486,-0.0573496
0.632,-0.33417,-0.803597,-0.117466
0.633,0.090899,-0.252576,0.208519
0.634,0.0465212,0.165207,0.115452
0.635,-0.179399,0.670998,0.24708
0.636,-0.290619,0.0495061,-0.131835
0.637,-0.305519,-1.04977,0.158898
0.638,0.109405,-0.0544436,0.142431
0.639,0.0207893,0.287603,0.109682
0.64,-0.269448,0.71264,0.263824
0.641,-0.170443,-0.207387,-0.133723
0.642,-0.138708,-0.91795,0.439655
0.643,0.107536,0.0786057,0.1556
0.644,-0.0120749,0.29999,0.0890052
0.645,-0.330412,0.603179,0.170523
0.646,-0.186409,-0.444415,-0.128092
0.647,-0.0710788,-0.745479,0.544243
0.648,0.0859676,0.221227,0.1231
0.649,-0.0693877,0.422537,0.117595
0.65,-0.429718,0.548169,0.115986
0.651,-0.0918712,-0.500865,-0.0158442
0.652,0.0445438,-0.363672,0.353462
0.653,0.0537492,0.356582,0.151378
0.654,-0.0873908,0.321822,0.057909
0.655,-0.44775,0.211304,-0.101599
0.656,-0.0431479,-0.575793,0.111729
0.657,0.04758,-0.209284,0.295249
0.658,0.00330044,0.464361,0.169055
0.659,-0.17106,0.39458,0.0669927
0.66,-0.495745,-0.103693,-0.249351
0.661,0.0283467,-0.445282,0.157413
0.662,0.0828192,0.035751,0.173236
0.663,-0.0629357,0.585666,0.21698
