time,x,y,z
0.292,-0.0283357,-0.639155,0.425111
0.293,0.0939528,-0.0157423,0.175671
0.294,0.0414829,0.386047,0.156611
0.295,-0.0618703,0.371276,0.0923085
0.296,-0.283774,0.462105,0.0719228
0.297,-0.404377,-0.166016,-0.249339
0.298,-0.0377112,-0.44711,0.0430441
0.299,0.0312414,-0.420697,0.353739
0.3,0.101011,0.168386,0.139715
0.301,-0.000585725,0.42414,0.151573
0.302,-0.169957,0.581836,0.186336
0.303,-0.408361,0.537581,0.0977888
0.304,-0.351495,-0.48819,-0.230673
0.305,0.00304475,-0.435061,0.103962
0.306,0.00930545,-0.359579,0.36804
0.307,0.0780915,0.235048,0.117142
0.308,-0.0374097,0.482826,0.1667
0.309,-0.255498,0.693792,0.252563
0.31,-0.329065,0.123854,-0.128614
0.311,-0.330425,-0.728793,-0.130568
0.312,0.0385552,-0.405708,0.163914
0.313,0.0597432,-0.140771,0.229446
0.314,0.0503268,0.354677,0.149336
0.315,-0.111822,0.632757,0.240799
0.316,-0.149823,0.248799,-0.0065078
0.317,-0.445025,-0.0351374,-0.229238
0.318,-0.304857,-0.976892,0.115114
0.319,0.0761692,-0.306899,0.201385
0.32,0.0857654,0.0431421,0.156306
0.321,0.0110148,0.449646,0.167957
0.322,-0.170761,0.659264,0.244583
0.323,-0.306136,0.379948,0.0128833
0.324,-0.477041,-0.304086,-0.301946
0.325,-0.0184677,-0.512984,0.126478
0.326,0.0745666,-0.249497,0.260811
0.327,0.0822118,0.190892,0.135115
0.328,0.0035311,0.237888,0.0725014
0.329,-0.0903852,0.2836,0.035234
0.33,-0.335415,0.217985,-0.0867527
0.331,-0.415831,-0.656117,-0.231901
0.332,0.0308447,-0.370787,0.113023
0.333,0.0941034,-0.103854,0.202752
0.334,0.0637057,0.293188,0.138304
0.335,-0.0266174,0.304629,0.0781609
0.336,-0.323419,0.743134,0.281387
0.337,-0.513936,0.272829,-0.10399
0.338,-0.101779,-0.523034,-0.000459643
