time,x,y,z
0.216,-0.0381373,-0.745163,0.448992
0.217,-0.0626241,0.458926,0.1369
0.218,-0.0414639,0.0612645,-0.00241744
0.219,-0.0613009,0.562578,0.199914
0.22,0.0579304,0.313998,0.149836
0.221,-0.181069,0.0557899,-0.0891182
0.222,-0.371705,0.947413,0.456564
0.223,-0.415941,0.980888,0.486145
0.224,-0.380904,-0.601456,-0.252542
0.225,0.0180696,0.502608,0.19758
0.226,0.0550356,-0.0985591,0.04977
0.227,-0.026527,-0.416011,0.0246787
0.228,0.0406343,-0.245763,0.0570999
0.229,0.0688247,0.257272,0.112952
0.23,0.095417,-0.0205731,0.226589
0.231,-0.0336434,0.22555,0.0381089
0.232,0.011883,0.408483,0.140651
0.233,0.0278473,0.27898,0.121242
0.234,0.0855697,0.308556,0.158877
0.235,-0.111842,0.517027,0.157521
0.236,0.0989913,-0.0943453,0.250853
0.237,-0.30607,0.88772,0.406712
0.238,-0.0961294,-0.197974,-0.0863592
0.239,-0.361739,0.312828,-0.0282478
0.24,0.0749409,-0.0848904,0.0755937
0.241,0.0135537,-0.583889,0.2904
0.242,0.0709243,0.0351485,0.205827
0.243,-0.385692,0.982393,0.488967
0.244,-0.344598,-0.816254,-0.147134
0.245,-0.111562,-0.223746,-0.097881
0.246,-0.247115,0.461016,0.0872929
0.247,-0.0651782,0.44771,0.129664
0.248,-0.321908,0.4948,0.0943949
0.249,0.0477627,-0.0730014,0.269519
0.25,0.0638113,-0.305656,0.369962
0.251,-0.328699,0.251164,-0.0545545
0.252,-0.109053,0.722885,0.2996
0.253,0.0738775,0.14577,0.0872055
0.254,0.0642314,0.350572,0.160621
0.255,-0.869423,-0.605787,-0.493346
0.256,0.0901276,0.28782,0.146261
0.257,-0.156062,-0.95814,0.336209
0.258,0.00414792,-0.22246,0.0123211
0.259,-0.551004,-1.14679,-0.141422
0.26,0.0787917,-0.221702,0.116056
0.261,-0.681795,0.737425,0.24966
0.262,-0.521109,0.342122,-0.0403571
0.263,-0.131878,-0.334156,-0.107537
0.264,-0.152256,0.333919,0.0396638
0.265,-0.440991,-0.119684,-0.243781
0.266,-0.169247,0.769151,0.323773
0.267,-0.0525651,-0.678909,0.654327
0.268,-0.161776,-0.0482017,-0.108317
0.269,-0.190055,0.815883,0.358249
0.27,-0.394376,0.198578,-0.0984278
0.271,0.113074,0.150896,0.160794
0.272,0.0310229,-0.278972,0.0648358
0.273,0.0283142,-0.331811,0.0705677
0.274,-0.186203,0.793533,0.340622
0.275,-0.166889,-0.571945,-0.079261
0.276,0.0416014,-0.13921,0.0380674
0.277,-0.0715224,0.5576,0.193587
0.278,0.0767958,0.312132,0.158415
0.279,-0.110874,0.506755,0.150069
0.28,0.0568369,-0.321908,0.120957
0.281,0.0290979,0.148864,0.0508613
0.282,-0.575084,-0.97254,-0.275385
0.283,-0.163294,-0.061434,-0.111947
0.284,-0.606679,0.0880695,-0.202738
0.285,-0.373462,-0.218958,-0.242725
0.286,-0.0949778,-0.333043,-0.0760084
0.287,0.0555236,0.0342563,0.0514625
0.288,-0.0369513,-0.331075,-0.018096
0.289,-0.143609,0.716385,0.28758
0.29,-0.34237,-1.22047,1.27712
0.291,-0.104098,-0.387023,-0.0742427
0.292,-0.119135,0.580359,0.196358
0.293,-0.831025,0.658615,0.174845
0.294,0.119517,-0.0286243,0.159178
0.295,0.0311339,-0.184162,0.0301075
0.296,-0.158106,0.373672,0.058488
0.297,-0.184859,0.819992,0.362496
0.298,-0.0858326,-0.157965,-0.00821293
0.299,-0.387709,0.991949,0.498055
0.3,-0.243754,-0.366246,-0.18648
0.301,-0.0465247,-0.111698,0.278854
0.302,0.00879945,0.190017,0.049357
0.303,-0.0457092,0.612063,0.237295
0.304,-0.0709708,0.476045,0.143917
0.305,-0.00150409,0.526269,0.202692
0.306,-0.0846615,-0.0920049,0.186663
0.307,-0.0966209,0.706684,0.29036
0.308,0.0537152,-0.0228599,0.045737
0.309,-0.123632,0.0933014,-0.0513282
0.31,-0.193588,-0.413876,0.704427
0.311,-0.0874,0.453437,0.125398
0.312,-0.395476,0.503213,0.0879209
0.313,-0.215941,-0.178413,-0.160104
0.314,-0.0449975,-0.218113,0.409416
0.315,-0.279071,-1.20739,1.01596
0.316,-0.297318,0.242329,-0.050862
0.317,-0.419475,0.993293,0.49799
0.318,-0.0313335,0.431098,0.13325
0.319,-0.160176,-1.01496,0.508226
0.32,-0.147861,-0.709241,0.0247883
0.321,-0.124307,-0.130491,0.108863
0.322,-0.307473,0.0709624,-0.131677
0.323,-0.0576828,0.241524,0.0327765
0.324,-0.720328,-0.286034,-0.381692
0.325,0.0731433,-0.0347701,0.0687496
0.326,-0.0276814,-0.63879,0.588973
0.327,-0.160943,-0.93137,0.262259
0.328,-0.127943,0.341293,0.0518797
0.329,-0.129967,0.733961,0.303655
0.33,-0.0271173,-0.295181,0.473948
0.331,-0.119013,0.195902,-0.0122729
0.332,-0.129333,0.251253,0.00714647
0.333,-0.238075,0.584799,0.172348
0.334,0.0920474,0.135188,0.10383
0.335,-0.146209,-0.160397,0.2371
0.336,-0.105094,0.284833,0.0316436
0.337,-0.126774,0.584683,0.196265
0.338,0.017764,-0.315088,0.0469033
0.339,0.0844106,-0.322572,0.222331
0.34,-0.0435853,-0.0565815,-0.0217021
0.341,-0.0380561,0.043277,0.0143936
0.342,-0.660574,-1.08205,-0.288879
0.343,0.0536684,-0.342924,0.127349
0.344,-0.117964,-0.246516,-0.102392
0.345,0.0388839,-0.101158,0.0304171
0.346,-0.0308813,0.214354,0.0487665
0.347,-0.142845,0.735542,0.301933
0.348,-0.0407479,0.025803,0.0100231
0.349,-0.14903,0.170681,-0.0345384
0.35,-0.244301,0.582705,0.169697
0.351,-0.0921745,-0.436746,0.645851
0.352,0.00555412,0.213,0.0549487
0.353,-0.279906,-0.706972,-0.136794
0.354,-0.12911,0.632218,0.229341
0.355,-0.0100443,0.375276,0.124436
0.356,-0.291371,0.598843,0.173123
0.357,0.070708,0.0420954,0.20237
0.358,-0.420766,0.980796,0.485853
0.359,-0.219586,-0.95632,0.150795
0.36,-0.161094,0.641225,0.228436
0.361,-0.212627,0.456137,0.0920622
0.362,-0.0291716,-0.110375,-0.026498
0.363,-0.14149,0.507854,0.142345
0.364,-0.0843057,0.661761,0.261296
0.365,-0.0479669,-0.00184644,0.0449238
0.366,0.0376572,-0.230983,0.0485478
0.367,-0.558228,-0.453778,-0.355927
0.368,-0.0439489,-0.0527677,-0.0367093
0.369,-0.107353,0.722538,0.299687
0.37,-0.301693,0.461411,0.0760214
0.371,0.0896275,0.195217,0.161366
0.372,0.0880949,-0.27581,0.301406
0.373,-0.106243,0.0563114,-0.0533602
0.374,0.0925344,0.103289,0.18146
0.375,0.0028156,-0.532284,0.52652
0.376,-0.0565946,0.531055,0.181634
0.377,-0.863139,-0.377582,-0.447949
0.378,-0.103544,0.159061,-0.0196559
0.379,-0.258016,0.293525,-0.0134619
0.38,-0.47595,-1.5406,0.731859
0.381,0.0561193,0.262892,0.105449
0.382,0.121285,0.0344341,0.16104
0.383,-0.144165,0.479639,0.124833
0.384,-0.116248,-0.129446,0.0719167
0.385,-0.0227285,-0.380572,0.0150654
0.386,-0.103828,0.214738,0.00167315
0.387,-0.0566438,0.464542,0.145854
0.388,-0.128251,-0.916312,0.355985
0.389,0.0335952,0.456546,0.182634
0.39,0.0713921,-0.0363211,0.243581
0.391,0.000575707,-0.634937,0.431814
0.392,0.0274146,-0.293287,0.0659987
0.393,-0.343077,0.703546,0.246377
0.394,0.0218995,0.502612,0.198201
0.395,-0.0276223,0.227684,0.0419709
0.396,0.0169267,-0.58091,0.310349
0.397,-0.119943,-0.694568,0.820538
0.398,-0.238251,-0.344053,-0.183475
0.399,0.06183,-0.0524756,0.055069
0.4,-0.131155,-0.591515,-0.0282914
